temperature,ph,dissolved_oxygen,salinity,water_color,mortality_count,feed_given,pond_age,disease_risk
33.4,9.2,3.1,8,Brown,14,239,5,High
28.3,8.9,4.1,15,Black,26,271,7,High
28.6,7.2,7.9,33,Green,2,142,140,Healthy
24.8,8.8,4.9,24,Brown,5,80,32,Moderate
31.6,8.5,6.8,24,Dark Green,9,179,37,Moderate
31.8,6.9,2.9,19,Black,2,122,67,High
34.9,6.8,5.6,23,Dark Green,25,292,19,High
34.3,7.1,7.5,35,Green,28,55,75,Moderate
28.0,8.5,5.7,31,Green,6,274,148,Healthy
24.2,8.0,6.0,26,Light Green,14,145,89,Healthy
31.1,7.6,4.0,23,Black,22,128,3,High
31.3,7.3,2.2,15,Black,31,135,59,High
34.0,8.0,4.3,18,Brown,24,84,57,Moderate
31.0,8.8,6.8,18,Dark Green,18,167,10,Moderate
34.5,7.2,3.0,24,Green,35,242,65,High
28.5,8.4,6.9,32,Dark Green,19,136,10,Moderate
32.3,8.6,3.0,20,Green,12,55,84,Moderate
33.9,7.4,4.6,26,Brown,3,186,31,Moderate
33.6,9.2,5.5,14,Light Green,16,48,96,Moderate
32.4,8.0,2.0,13,Light Green,13,192,105,Moderate
33.8,9.1,6.5,17,Brown,40,42,15,High
28.9,9.5,4.5,13,Black,15,60,74,Moderate
32.3,9.2,7.3,15,Dark Green,23,272,33,High
32.1,9.0,5.3,13,Black,11,221,62,Moderate
30.7,7.5,2.1,18,Green,16,229,95,Moderate
30.3,7.7,4.3,21,Light Green,25,67,39,Moderate
34.1,8.5,3.9,13,Brown,4,63,57,Moderate
32.7,7.0,5.2,21,Green,4,62,107,Healthy
31.8,6.7,6.8,27,Black,21,87,7,High
29.7,8.5,4.4,34,Green,1,135,74,Healthy
24.2,8.3,2.7,30,Light Green,37,229,34,High
29.1,8.3,6.4,15,Black,30,21,40,Moderate
28.3,8.8,2.3,21,Black,37,221,115,High
34.9,9.0,5.9,15,Light Green,16,62,9,Moderate
34.8,8.8,2.4,24,Green,1,273,149,Moderate
32.0,6.5,5.5,12,Brown,29,179,80,Moderate
27.2,8.8,6.2,9,Black,12,249,135,Moderate
29.4,6.7,4.7,18,Green,38,155,58,Moderate
25.6,6.7,6.9,33,Green,11,125,48,Moderate
25.4,6.6,8.0,10,Dark Green,24,71,23,High
29.1,8.4,6.9,7,Green,13,243,103,Healthy
28.7,7.0,8.0,16,Brown,14,143,113,Healthy
26.0,8.6,6.5,31,Green,13,143,2,Healthy
28.0,9.2,7.5,27,Light Green,10,134,8,Healthy
26.6,7.1,3.3,21,Dark Green,2,54,120,Moderate
34.6,6.6,3.8,14,Black,34,180,139,High
25.3,9.0,5.4,23,Green,5,217,33,Healthy
26.4,9.4,6.2,32,Green,2,31,148,Healthy
30.4,8.6,2.1,14,Green,10,24,67,Moderate
32.0,7.0,2.5,20,Black,31,199,47,High
33.9,7.3,3.9,12,Dark Green,2,94,140,High
34.6,8.4,5.0,10,Green,9,38,35,Healthy
30.9,8.2,2.9,29,Black,32,61,20,High
29.7,7.9,6.2,22,Dark Green,2,111,12,Healthy
24.3,9.0,5.0,21,Brown,23,281,18,Moderate
26.3,7.1,7.2,9,Black,10,76,149,Moderate
30.0,8.4,3.8,27,Green,2,37,101,Healthy
32.5,8.5,3.0,8,Black,25,297,70,High
33.0,8.5,5.8,29,Brown,7,252,27,Healthy
34.9,9.3,3.1,9,Black,40,42,43,High
32.2,7.6,2.9,19,Black,10,253,148,High
34.1,8.8,4.3,30,Green,3,213,122,Moderate
28.0,7.8,5.0,29,Green,22,211,30,Healthy
33.4,9.2,4.8,17,Dark Green,22,52,81,High
27.2,8.6,4.2,33,Brown,38,260,95,Moderate
31.2,7.2,4.3,24,Dark Green,5,291,83,Moderate
31.8,7.6,6.7,26,Black,18,36,64,Moderate
29.6,8.7,6.9,17,Brown,8,290,73,Healthy
27.1,7.9,5.7,16,Dark Green,17,268,111,Moderate
32.5,6.9,5.6,13,Dark Green,35,111,27,High
25.5,6.9,7.4,16,Brown,20,120,51,High
32.7,6.7,7.7,20,Black,37,184,103,High
28.5,6.5,6.6,30,Black,23,265,18,High
25.8,6.6,3.9,32,Dark Green,9,46,59,High
29.6,9.1,2.8,16,Green,14,286,146,Moderate
33.0,9.3,2.1,22,Green,8,295,44,Moderate
32.8,8.4,4.9,30,Brown,22,22,117,Moderate
33.3,9.2,6.3,28,Light Green,26,217,91,Moderate
28.7,9.5,2.5,20,Brown,28,131,96,High
33.3,8.9,2.2,28,Green,21,124,110,High
25.1,9.1,6.4,18,Brown,6,243,75,Moderate
31.5,8.7,2.5,30,Brown,12,139,130,Moderate
34.5,7.3,6.0,23,Green,9,90,113,Moderate
27.5,9.4,6.6,8,Black,4,166,90,Moderate
32.9,6.7,2.5,34,Green,28,288,88,High
24.3,8.2,7.3,9,Light Green,2,106,127,Healthy
28.1,8.5,3.4,16,Dark Green,38,253,137,High
32.2,7.0,7.2,22,Brown,10,155,51,Moderate
24.5,8.8,2.3,26,Black,22,199,22,High
27.7,7.5,2.6,15,Light Green,39,122,97,Moderate
26.3,8.2,7.5,30,Green,29,117,34,Healthy
34.7,7.9,4.1,15,Brown,11,144,36,Moderate
32.2,7.4,6.4,15,Light Green,29,283,111,Moderate
28.0,7.2,3.7,6,Black,22,276,81,High
31.5,9.2,5.2,30,Light Green,3,230,69,Healthy
25.7,7.4,4.4,25,Dark Green,38,261,136,High
32.4,7.6,7.8,34,Brown,14,119,134,Healthy
26.1,9.4,4.3,7,Light Green,10,86,100,Moderate
28.4,9.2,2.6,22,Light Green,12,130,36,Moderate
26.5,9.2,4.5,22,Green,29,120,51,Moderate
29.2,8.9,6.6,18,Green,14,56,77,Healthy
24.8,8.1,5.5,25,Dark Green,33,244,105,Moderate
26.0,8.6,5.3,13,Black,38,214,115,Moderate
33.2,7.7,7.1,23,Light Green,14,282,53,Healthy
29.8,8.1,5.7,9,Green,40,266,127,Healthy
25.1,8.4,5.7,10,Black,33,152,40,High
24.0,8.8,7.3,24,Green,13,213,28,Moderate
30.1,8.0,4.6,22,Light Green,17,219,75,Moderate
27.6,8.7,7.6,5,Black,7,38,119,Moderate
29.3,6.8,2.7,8,Green,19,50,112,High
33.4,8.2,5.9,19,Brown,13,272,48,Moderate
27.2,7.7,4.7,12,Light Green,6,31,108,Healthy
28.7,7.3,5.3,13,Dark Green,24,70,90,Moderate
29.2,7.3,3.2,9,Light Green,20,116,111,Moderate
24.6,7.5,2.4,5,Brown,24,58,141,High
26.0,8.8,3.1,23,Black,28,165,59,High
26.0,7.0,4.2,9,Dark Green,8,288,67,Moderate
29.5,7.4,6.5,7,Brown,11,240,62,Healthy
32.6,6.6,3.5,25,Green,27,185,67,High
26.4,6.7,6.3,31,Brown,38,225,34,Moderate
34.6,7.0,2.6,31,Brown,10,36,138,High
28.7,6.6,6.3,24,Black,7,162,73,Moderate
24.0,7.7,3.6,9,Light Green,3,281,135,Moderate
30.9,7.2,6.5,28,Green,39,113,148,Moderate
29.2,8.7,5.3,6,Dark Green,34,225,106,Moderate
27.6,7.7,5.5,11,Brown,18,85,73,Moderate
30.2,7.5,3.3,27,Black,14,107,116,Moderate
28.0,7.8,7.4,24,Dark Green,38,254,93,Moderate
30.5,8.2,7.3,27,Dark Green,22,274,117,Moderate
29.4,7.3,6.7,17,Green,28,180,51,Moderate
30.3,6.8,7.9,23,Green,23,259,47,Moderate
33.6,8.4,5.0,19,Black,24,298,62,High
25.3,8.6,6.9,12,Brown,40,162,112,Moderate
29.3,8.9,7.1,33,Black,35,171,10,Moderate
27.0,6.8,3.6,22,Light Green,28,188,14,High
24.8,8.5,2.5,23,Light Green,23,290,17,High
27.7,9.3,5.6,25,Black,18,286,76,High
24.2,6.7,5.3,28,Light Green,24,158,90,Moderate
27.6,6.7,5.3,7,Green,35,87,140,Moderate
31.3,8.6,3.1,22,Light Green,34,185,10,High
33.2,8.6,3.9,12,Dark Green,16,267,27,High
28.9,7.7,4.4,30,Black,0,225,21,Moderate
27.6,7.2,3.6,22,Green,19,95,103,Moderate
29.6,7.1,6.4,27,Light Green,31,209,73,Moderate
31.2,8.6,3.0,9,Black,40,289,142,High
25.0,6.9,2.8,12,Black,37,171,39,High
24.2,9.3,2.3,20,Green,36,279,61,High
31.9,6.8,3.6,30,Light Green,34,260,148,High
30.5,8.0,4.5,9,Black,34,285,35,Moderate
25.4,9.0,7.7,11,Green,30,258,96,Moderate
26.1,6.8,5.9,5,Green,16,197,65,Moderate
31.8,7.7,2.2,34,Dark Green,17,289,138,High
33.6,6.8,3.0,33,Brown,9,197,115,High
26.7,8.5,2.4,32,Brown,39,275,29,Moderate
34.8,7.8,7.1,19,Green,3,95,71,Healthy
25.4,7.8,5.8,34,Dark Green,39,122,23,Moderate
27.5,7.5,2.6,15,Brown,15,133,107,Moderate
29.8,7.7,3.3,19,Light Green,6,125,93,Moderate
32.6,9.0,6.8,19,Black,0,53,21,Moderate
25.4,8.0,2.4,13,Dark Green,31,125,36,High
25.8,8.2,4.7,9,Brown,21,258,127,Moderate
27.6,7.0,4.7,34,Light Green,13,256,130,Healthy
33.9,9.4,3.9,7,Dark Green,5,185,29,High
31.0,9.4,5.1,11,Black,24,208,7,High
24.7,6.6,6.1,21,Dark Green,38,136,74,High
28.3,6.8,7.4,28,Light Green,7,115,4,Healthy
25.9,6.7,3.8,34,Green,23,61,142,High
34.0,8.6,4.8,24,Brown,26,190,60,High
29.9,9.3,5.3,14,Black,3,195,32,Moderate
31.8,7.1,4.1,30,Green,12,141,136,Moderate
27.2,7.4,6.8,31,Brown,18,87,24,Moderate
34.3,8.0,7.7,27,Green,38,62,137,Moderate
31.2,7.1,8.0,30,Light Green,12,197,115,Healthy
31.0,8.7,3.0,33,Light Green,4,177,97,Moderate
24.9,7.9,6.9,10,Dark Green,12,224,49,Moderate
24.9,6.7,5.5,19,Dark Green,38,282,97,High
25.8,8.9,2.6,30,Light Green,31,53,107,High
34.8,7.2,2.9,7,Black,17,74,149,High
25.3,8.5,6.4,33,Brown,37,186,143,Moderate
31.4,7.0,5.7,8,Black,21,139,97,High
33.3,8.0,3.7,10,Black,14,103,87,High
30.1,9.2,2.9,6,Dark Green,3,52,93,Moderate
27.6,9.3,4.5,11,Brown,1,101,11,Moderate
26.5,7.2,3.8,19,Black,8,298,30,High
27.9,6.9,6.6,11,Green,7,206,101,Healthy
30.5,8.8,2.3,27,Brown,2,88,55,Moderate
25.4,7.2,7.0,12,Black,5,101,45,Moderate
24.1,7.3,2.1,29,Dark Green,38,209,127,High
26.0,8.6,7.7,6,Dark Green,6,237,14,Moderate
25.4,6.5,4.7,28,Brown,1,242,70,Moderate
31.6,6.7,7.6,19,Brown,15,238,16,Moderate
28.5,7.9,4.7,21,Dark Green,26,85,105,Moderate
28.7,8.6,6.9,10,Brown,15,131,38,Healthy
25.5,9.5,7.6,19,Black,28,214,98,High
31.8,8.7,2.9,15,Dark Green,11,160,106,High
33.1,7.9,4.4,22,Black,37,199,80,High
33.6,8.6,4.3,12,Dark Green,15,50,64,Moderate
27.4,9.3,4.9,16,Dark Green,21,156,34,High
25.3,8.7,7.5,23,Brown,13,141,102,Moderate
33.7,6.8,4.8,5,Brown,31,218,55,High
32.3,8.8,6.9,24,Dark Green,29,78,66,Moderate
24.9,8.6,3.1,22,Black,13,279,91,High
24.9,7.6,5.9,20,Dark Green,9,175,67,Moderate
31.6,7.6,2.3,29,Green,14,283,96,Moderate
25.3,7.2,6.7,25,Black,19,203,66,High
27.3,6.8,7.6,5,Black,33,252,88,High
32.8,8.2,3.9,31,Light Green,28,25,47,Moderate
27.7,8.1,6.3,15,Dark Green,9,89,52,Healthy
30.0,7.0,7.7,7,Brown,28,142,99,Moderate
30.4,8.7,5.0,23,Dark Green,18,187,113,Moderate
34.1,7.8,3.5,27,Light Green,4,260,48,Moderate
27.8,7.0,6.9,35,Brown,7,103,118,Healthy
29.1,6.7,5.1,5,Dark Green,39,185,15,Moderate
31.1,8.1,7.8,14,Light Green,33,190,2,Moderate
31.0,9.4,7.1,8,Green,39,212,104,Moderate
24.5,8.0,3.3,13,Green,35,82,37,High
25.6,7.1,5.8,15,Black,36,90,118,High
31.7,8.2,6.3,16,Black,36,167,18,Moderate
31.7,7.0,2.8,17,Dark Green,12,161,100,High
34.7,6.8,3.0,23,Green,13,43,85,High
24.5,8.2,3.5,27,Light Green,4,32,101,Moderate
27.7,8.1,2.4,17,Dark Green,19,269,47,High
34.1,7.0,6.1,11,Green,12,252,115,Moderate
24.2,8.4,7.8,18,Black,4,36,59,Moderate
32.4,7.8,6.6,23,Dark Green,23,242,18,Moderate
25.4,7.4,3.0,22,Brown,24,214,48,High
26.9,7.4,2.9,35,Light Green,32,294,5,Moderate
29.6,8.7,6.1,17,Brown,40,217,54,Moderate
32.3,8.1,3.2,33,Black,18,51,76,High
33.4,8.6,2.6,21,Dark Green,8,141,21,High
27.0,9.3,4.9,21,Green,18,61,34,Moderate
26.9,7.2,6.4,21,Brown,29,260,74,Moderate
28.8,8.2,7.1,29,Dark Green,38,82,48,Moderate
27.9,8.6,7.1,19,Black,38,130,43,Moderate
31.5,8.4,2.5,18,Black,0,128,113,Moderate
33.1,7.5,5.3,28,Dark Green,40,151,99,Moderate
33.0,9.4,5.5,29,Brown,37,28,107,Moderate
24.8,6.9,7.1,18,Green,23,73,64,Moderate
28.6,8.7,6.3,7,Light Green,14,79,91,Healthy
31.0,7.9,7.8,13,Dark Green,21,212,128,Moderate
25.5,7.5,5.2,9,Light Green,14,240,65,Healthy
29.7,7.5,4.9,5,Brown,22,202,62,Moderate
26.8,6.6,3.8,22,Brown,16,156,15,High
32.7,9.4,3.4,33,Green,0,139,65,Moderate
27.3,8.5,7.2,10,Black,10,142,42,Moderate
24.6,7.8,7.2,10,Dark Green,11,241,7,Moderate
30.2,7.8,4.6,14,Light Green,40,248,112,Moderate
28.9,6.7,6.8,30,Black,8,209,59,Moderate
26.3,6.7,6.0,21,Green,27,55,8,Moderate
26.1,8.5,3.7,23,Black,31,233,10,High
32.6,7.6,5.8,10,Black,20,215,140,Moderate
33.6,7.3,2.7,6,Dark Green,15,156,76,High
33.2,6.9,5.7,20,Brown,2,113,96,Moderate
24.8,6.7,5.2,7,Brown,32,298,25,High
32.1,8.2,7.9,7,Green,18,222,104,Moderate
29.9,9.4,5.6,22,Green,9,158,84,Healthy
29.2,8.5,6.6,29,Black,14,56,10,Moderate
32.3,7.3,3.2,30,Black,7,300,113,High
24.1,7.9,4.4,28,Green,25,168,28,Moderate
26.2,9.5,5.7,29,Green,26,141,52,Moderate
26.7,7.8,3.1,27,Black,0,242,22,Moderate
31.4,7.1,5.7,22,Light Green,0,74,117,Healthy
33.6,9.5,2.6,8,Green,16,104,37,High
27.2,9.1,3.9,16,Black,38,262,105,High
32.7,6.6,2.8,7,Dark Green,21,24,49,High
33.7,6.9,4.5,5,Light Green,25,49,10,High
34.1,7.2,5.2,33,Green,15,145,55,Moderate
27.6,9.3,7.8,23,Green,6,124,130,Healthy
30.3,7.4,4.1,25,Green,34,300,18,Moderate
34.8,9.0,3.0,27,Green,18,229,148,High
28.7,8.0,3.0,10,Black,36,257,31,High
33.9,9.0,2.3,10,Light Green,10,208,8,Moderate
28.0,8.4,2.9,13,Light Green,8,285,54,Moderate
34.6,9.2,6.8,21,Dark Green,1,103,70,Moderate
31.2,7.2,5.4,12,Light Green,8,139,22,Healthy
25.7,6.8,5.4,10,Black,33,297,12,High
30.6,7.7,2.7,20,Green,23,130,54,Moderate
25.9,7.8,6.8,27,Light Green,3,261,8,Healthy
27.4,7.2,6.5,30,Light Green,13,34,126,Healthy
30.1,9.1,7.7,18,Brown,28,134,126,Moderate
28.0,7.2,4.4,29,Brown,24,171,67,Moderate
25.5,7.9,3.1,20,Dark Green,38,258,57,High
25.4,8.5,3.8,23,Green,19,281,146,High
24.9,7.4,6.8,14,Light Green,10,205,149,Moderate
32.8,8.8,4.6,24,Brown,30,88,92,Moderate
25.6,7.0,7.5,34,Dark Green,26,132,150,High
31.7,9.0,4.1,11,Black,24,140,51,High
28.2,8.1,7.4,24,Black,1,52,129,Healthy
28.6,8.9,3.9,23,Black,25,193,20,High
34.7,8.4,6.3,7,Green,25,225,17,Moderate
27.1,9.1,3.9,31,Light Green,16,86,91,High
31.1,9.2,4.5,34,Black,26,72,51,High
33.8,8.1,5.8,15,Light Green,11,246,47,Healthy
26.3,7.9,5.9,7,Light Green,6,235,26,Healthy
33.9,7.1,2.2,21,Light Green,32,178,51,High
29.0,7.7,4.1,17,Green,5,206,113,Healthy
26.1,7.7,4.9,30,Dark Green,39,161,53,Moderate
29.6,6.7,2.9,18,Brown,39,219,94,High
32.4,8.4,4.0,28,Black,13,112,101,Moderate
26.6,7.1,5.7,22,Black,20,32,117,Moderate
31.7,7.1,7.6,11,Brown,28,58,135,Moderate
33.6,8.9,3.6,7,Green,31,168,132,High
32.1,6.6,7.7,24,Brown,17,159,68,Moderate
32.6,7.5,6.6,23,Black,32,207,21,Moderate
24.3,7.6,7.6,7,Light Green,18,242,135,Moderate
25.2,7.6,3.8,21,Green,9,78,72,Moderate
25.4,8.9,3.1,21,Light Green,23,147,57,High
25.1,9.1,5.8,26,Green,2,242,14,Moderate
28.6,9.4,6.2,28,Green,7,238,71,Healthy
34.6,7.6,6.0,28,Brown,13,67,52,Moderate
32.1,7.5,4.3,23,Light Green,10,170,91,Healthy
25.0,8.3,6.5,26,Black,5,188,122,Moderate
30.0,6.8,2.7,7,Black,8,46,45,High
24.4,7.7,6.0,20,Dark Green,16,188,3,Moderate
32.6,7.4,5.4,10,Dark Green,26,289,67,Moderate
33.1,6.9,3.2,8,Dark Green,36,102,93,High
25.6,7.9,4.5,12,Green,0,121,107,Healthy
25.6,7.9,2.6,7,Green,34,218,129,High
29.3,9.1,3.0,15,Dark Green,7,24,93,High
33.5,8.5,2.1,15,Light Green,24,198,131,High
29.9,8.7,6.3,34,Brown,24,39,39,Moderate
30.9,9.0,5.0,27,Dark Green,16,131,61,Moderate
34.7,7.6,7.2,24,Dark Green,19,125,133,Moderate
24.9,7.3,2.1,28,Dark Green,24,54,28,High
30.6,8.2,6.1,35,Black,26,97,92,Moderate
34.0,7.1,3.0,15,Green,25,29,31,High
34.6,7.8,7.3,30,Brown,5,268,119,Healthy
28.2,9.5,7.4,5,Black,30,204,68,High
33.3,8.1,3.7,14,Green,33,285,31,High
24.8,8.9,3.1,29,Light Green,1,158,34,Moderate
26.5,8.0,3.4,31,Brown,3,39,88,Moderate
32.4,7.8,2.2,34,Brown,26,273,9,High
29.7,7.0,4.4,31,Black,35,146,99,High
25.8,6.9,4.9,27,Brown,7,83,59,Moderate
24.2,9.3,4.7,22,Light Green,15,21,94,Moderate
26.8,6.9,4.2,5,Light Green,30,295,31,Moderate
27.9,8.2,2.9,14,Green,34,128,138,Moderate
32.1,6.5,5.6,5,Brown,11,176,134,Moderate
29.8,8.2,4.3,35,Brown,34,113,88,Moderate
27.5,6.8,4.1,5,Green,9,273,74,Moderate
30.5,7.8,6.2,27,Black,36,209,50,Moderate
34.8,7.8,7.9,18,Dark Green,1,47,22,Moderate
26.5,7.8,7.8,17,Dark Green,19,239,115,Moderate
24.9,6.7,5.3,26,Dark Green,30,254,137,High
28.4,7.2,6.6,26,Dark Green,1,126,64,Healthy
33.5,7.5,4.4,27,Light Green,17,84,2,Moderate
34.6,9.0,5.3,17,Black,39,116,86,High
28.5,7.6,4.6,18,Dark Green,24,215,51,Moderate
27.7,7.2,5.4,26,Black,9,258,110,Moderate
24.1,9.1,7.0,23,Green,2,170,87,Moderate
27.6,7.9,6.3,23,Green,26,108,79,Healthy
30.0,6.5,7.2,14,Green,7,294,82,Healthy
34.3,8.2,3.0,18,Green,2,158,73,Moderate
27.0,9.1,4.3,11,Brown,21,55,58,Moderate
33.3,7.8,5.5,15,Dark Green,35,162,57,Moderate
34.6,7.6,6.8,19,Black,30,202,72,High
24.8,7.4,5.2,19,Light Green,13,251,116,Moderate
30.5,6.6,2.9,31,Dark Green,31,238,64,High
26.8,6.7,4.3,9,Light Green,0,178,94,Healthy
32.8,8.9,4.5,8,Light Green,4,149,110,Healthy
30.8,9.4,4.8,11,Brown,40,155,2,Moderate
28.4,8.6,6.5,8,Dark Green,26,93,139,Moderate
33.0,8.0,3.6,9,Brown,28,130,89,High
33.2,7.6,3.2,21,Black,5,120,95,High
28.3,8.3,3.9,27,Dark Green,23,85,29,High
29.8,8.6,8.0,27,Light Green,35,86,26,Moderate
28.7,8.2,5.4,21,Dark Green,8,178,1,Healthy
31.4,7.4,6.1,27,Dark Green,24,139,90,Moderate
31.1,8.5,6.4,24,Dark Green,4,33,39,Healthy
26.8,9.1,6.0,13,Light Green,33,246,45,Moderate
28.9,7.9,6.8,32,Light Green,39,240,71,Healthy
34.5,7.4,4.0,32,Black,4,96,69,Moderate
24.7,8.9,5.4,10,Light Green,28,74,64,Moderate
26.7,8.4,6.7,23,Green,12,228,21,Healthy
33.3,8.5,5.4,22,Black,26,146,16,High
30.0,7.7,2.5,6,Brown,11,34,106,Moderate
24.3,8.2,4.2,30,Black,32,41,47,High
24.3,7.0,4.9,17,Black,27,68,28,High
31.1,8.4,3.4,27,Dark Green,3,151,109,Moderate
25.1,8.6,5.9,7,Green,22,86,10,Moderate
33.9,8.0,3.3,20,Black,23,217,32,High
31.9,8.3,3.3,11,Dark Green,16,170,25,High
33.7,7.6,6.2,14,Green,34,112,56,Moderate
28.6,8.1,4.9,23,Green,38,59,126,Moderate
33.4,7.2,5.4,21,Green,13,205,16,Moderate
34.3,6.7,7.2,11,Brown,29,35,21,High
24.7,7.2,7.5,29,Brown,17,151,140,Moderate
26.7,8.2,7.7,23,Dark Green,37,258,52,Moderate
29.7,9.2,5.2,10,Brown,37,82,129,Moderate
26.3,7.9,7.9,9,Light Green,26,43,95,Healthy
25.4,7.6,7.0,29,Brown,1,231,20,Healthy
33.3,9.0,3.0,26,Black,7,38,37,High
26.8,6.7,7.9,35,Dark Green,22,126,4,Moderate
30.4,7.1,7.4,30,Black,4,117,2,Moderate
29.7,7.5,7.3,17,Dark Green,23,271,54,Moderate
35.0,8.7,3.6,17,Light Green,31,118,17,High
28.1,8.3,2.8,10,Black,22,62,77,High
26.3,8.8,3.6,29,Brown,14,296,150,Moderate
33.9,7.7,3.1,7,Dark Green,13,206,44,High
33.6,9.3,3.9,16,Brown,25,282,112,High
34.2,8.8,7.4,11,Light Green,37,109,86,Moderate
24.1,7.1,5.2,5,Dark Green,16,179,136,High
34.9,8.5,4.9,26,Dark Green,4,297,70,Moderate
29.1,9.5,4.4,19,Light Green,17,243,136,Moderate
29.3,7.5,2.3,31,Light Green,9,243,98,Moderate
29.3,7.2,5.3,23,Black,6,157,114,Moderate
30.8,8.5,8.0,8,Black,7,172,110,Moderate
32.9,8.1,7.4,28,Light Green,19,190,42,Moderate
25.1,6.9,5.1,26,Black,29,162,112,High
30.9,8.8,2.0,13,Black,20,192,16,High
25.5,8.3,7.5,14,Dark Green,28,70,84,Moderate
27.9,9.1,4.4,9,Black,17,249,116,High
34.5,7.0,3.6,11,Green,12,206,29,Moderate
31.4,8.7,6.0,7,Light Green,23,98,113,Moderate
34.3,9.2,4.7,21,Green,13,49,102,Moderate
25.8,7.1,6.3,5,Brown,36,205,52,Moderate
34.8,8.3,6.7,24,Brown,24,72,89,Moderate
25.8,7.6,4.1,20,Dark Green,23,175,8,High
25.1,7.3,4.2,17,Black,29,145,98,High
34.3,8.6,5.2,32,Dark Green,4,46,68,Moderate
29.6,8.9,5.4,22,Brown,2,186,44,Healthy
30.3,9.1,3.5,17,Dark Green,8,101,92,High
33.7,6.6,6.4,28,Brown,31,110,97,High
24.7,7.4,4.1,5,Light Green,11,91,106,Moderate
33.8,7.1,5.7,20,Black,28,80,28,High
30.4,9.4,6.5,31,Dark Green,31,43,64,Moderate
30.2,8.8,3.2,34,Dark Green,24,64,81,High
29.0,8.6,6.5,8,Dark Green,18,79,119,Moderate
30.8,8.6,3.8,27,Black,12,70,6,High
26.8,7.8,3.2,24,Light Green,23,22,145,Moderate
31.7,8.4,6.1,14,Light Green,36,183,137,Moderate
34.0,7.8,7.0,13,Light Green,22,247,39,Moderate
30.4,8.4,4.8,13,Brown,8,101,102,Healthy
29.8,8.1,5.2,30,Black,5,29,81,Healthy
28.4,8.2,6.5,24,Light Green,37,177,71,Healthy
32.4,6.8,2.5,24,Black,22,131,94,High
31.5,6.8,5.0,20,Black,15,165,12,Moderate
28.9,6.8,6.4,20,Dark Green,32,246,128,Moderate
32.2,6.9,3.0,29,Brown,10,276,5,High
31.6,7.7,5.7,30,Green,33,287,68,Moderate
24.3,9.0,3.4,7,Brown,12,174,47,High
24.7,7.7,3.2,9,Light Green,12,175,134,Moderate
33.0,7.7,3.2,32,Light Green,32,232,122,Moderate
29.3,7.5,4.1,10,Black,25,176,10,Moderate
30.8,6.9,6.3,22,Dark Green,23,117,4,Moderate
24.9,7.3,5.3,23,Green,28,105,56,Moderate
28.6,8.1,2.0,18,Black,1,106,65,Moderate
29.9,7.3,3.4,9,Brown,17,197,145,High
